timestamp,src_ip,dst_ip,protocol,length
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,78
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,20.192.44.80,192.168.7.149,6,56
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,742
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,66
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,73
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,743
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,75
2025-06-24 23:40:24,52.168.117.169,192.168.7.149,6,499
2025-06-24 23:40:24,192.168.7.149,52.168.117.169,6,54
2025-06-24 23:40:26,192.168.7.149,49.44.119.47,6,55
2025-06-24 23:40:26,49.44.119.47,192.168.7.149,6,66
2025-06-24 23:40:26,20.192.44.68,192.168.7.149,6,158
2025-06-24 23:40:26,20.192.44.80,192.168.7.149,6,158
2025-06-24 23:40:26,192.168.7.149,20.192.44.68,6,54
2025-06-24 23:40:26,192.168.7.149,20.192.44.80,6,54
2025-06-24 23:40:26,192.168.7.149,142.251.43.165,6,55
2025-06-24 23:40:26,142.251.43.165,192.168.7.149,6,66
2025-06-24 23:40:27,192.168.7.149,20.192.44.80,6,85
2025-06-24 23:40:27,20.192.44.80,192.168.7.149,6,56
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,110
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:27,192.168.7.149,13.107.137.11,6,1354
